HPperSec,MPperSec,MoveSpeed,StunRecoverySpeed,attackSpeed,castingSpeed,chance,coolTime,count,criticalAttack,hp,id,keepTime,ma,magicChance,md,mp,pa,pd,proficiency,range,shield,shieldResetTime,skillEffectFreq,skillMoveSpeed,
1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,2,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,3,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,4,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,5,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,6,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,7,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,8,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,9,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,10,1,1,1,1,1,10,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,100,11,1,1,1,1,1,10,1,1,1,1,1,1,1,
0,0,0,0,0,0,0,0,0,0,100,12,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,13,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,14,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,15,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,16,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,17,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,18,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,19,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,21,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,22,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,23,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,24,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,25,0,0,0,0,0,10,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,100,26,0,0,0,0,0,10,0,0,0,0,0,0,0,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,27,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
